Player Name,Team_x,Player Type,Runs,FBalls,Dismissals,StrikeRate,Economy,Runs Conceded,Balls Bowled,Wickets,Catches,Stumpings,RunOuts,Extras,Fours,Sixes,Overs,Maidens,Score
Aaron Hardie,AUS,ALL,4.2727272727272725,8.954545454545455,0.4090909090909091,18.927314468149316,2.6441017316017317,12.818181818181818,15.318181818181818,0.4090909090909091,0.13636363636363635,0.0,0.0,0.2727272727272727,0.6818181818181818,0.09090909090909091,2.5454545454545454,0.045454545454545456,14.681818181818182
Abrar Ahmed,PAK,BOWL,7.114285714285714,19.514285714285716,0.6571428571428571,17.736208546860144,1.2900830162573504,5.142857142857143,6.0285714285714285,0.11428571428571428,0.2,0.0,0.0,0.11428571428571428,1.8,0.4857142857142857,0.9714285714285714,0.0,10.8
Adam Zampa,AUS,BOWL,1.2427745664739884,3.132947976878613,0.19653179190751446,12.286654887453041,3.3723441457031944,29.271676300578033,31.832369942196532,1.0346820809248556,0.09248554913294797,0.0,0.005780346820809248,0.7052023121387283,0.17341040462427745,0.011560693641618497,5.219653179190751,0.0,28.92485549132948
Adil Rashid,ENG,BOWL,2.1726384364820848,4.504885993485342,0.2182410423452769,14.837814392393446,3.136174243085228,27.351791530944624,29.4885993485342,0.8957654723127035,0.13680781758957655,0.0,0.013029315960912053,0.7263843648208469,0.43322475570032576,0.05863192182410423,4.830618892508143,0.0,26.52442996742671
Agha Salman,PAK,ALL,7.526315789473684,14.24561403508772,0.2982456140350877,20.171065314743117,2.379697665870475,12.035087719298245,12.631578947368421,0.2631578947368421,0.24561403508771928,0.0,0.03508771929824561,0.40350877192982454,1.2280701754385965,0.2982456140350877,2.0701754385964914,0.0,16.36842105263158
Aiden Markram,SA,ALL,8.328467153284672,19.32846715328467,0.48175182481751827,19.597156654065458,1.5547655834440135,7.372262773722627,8.204379562043796,0.18248175182481752,0.23357664233576642,0.0,0.014598540145985401,0.3284671532846715,1.9124087591240877,0.38686131386861317,1.3357664233576643,0.029197080291970802,14.766423357664234
Alex Carey,AUS,WK,9.567796610169491,19.45762711864407,0.4915254237288136,29.21703517678621,0.0,0.0,0.0,0.0,0.7033898305084746,0.059322033898305086,0.059322033898305086,0.0,1.5932203389830508,0.19491525423728814,0.0,0.0,15.584745762711865
Arshdeep Singh,IND,BOWL,1.1333333333333333,2.4,0.3333333333333333,20.185185185185183,2.7840983583575163,22.2,26.4,1.0666666666666667,0.06666666666666667,0.0,0.0,2.2666666666666666,0.06666666666666667,0.2,4.133333333333334,0.13333333333333333,31.666666666666668
Axar Patel,IND,ALL,2.8925619834710745,6.082644628099174,0.256198347107438,16.20310628614257,2.198652901804239,18.25619834710744,24.14876033057851,0.5785123966942148,0.19834710743801653,0.0,0.008264462809917356,0.5785123966942148,0.32231404958677684,0.23140495867768596,3.9669421487603307,0.0,19.65289256198347
Babar Azam,PAK,BAT,19.612121212121213,39.74545454545454,0.6121212121212121,30.408925179776933,0.0,0.0,0.0,0.0,0.3090909090909091,0.0,0.024242424242424242,0.0,3.193939393939394,0.3515151515151515,0.0,0.0,22.69090909090909
Ben Duckett,ENG,BAT,11.716049382716049,26.098765432098766,0.691358024691358,27.21950793243779,0.0,0.0,0.0,0.0,0.41975308641975306,0.037037037037037035,0.08641975308641975,0.0,2.8271604938271606,0.30864197530864196,0.0,0.0,16.382716049382715
Ben Dwarshuis,AUS,BOWL,0.0,0.0,0.0,0.0,4.5,18.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0
Brydon Carse,ENG,BOWL,2.6222222222222222,5.977777777777778,0.2222222222222222,13.969815389841518,3.269526745593583,24.77777777777778,24.8,0.7555555555555555,0.17777777777777778,0.0,0.0,1.3333333333333333,0.3111111111111111,0.1111111111111111,3.977777777777778,0.13333333333333333,23.533333333333335
Cooper Connolly,AUS,ALL,2.5,9.0,0.5,13.622291021671826,2.0,8.0,6.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,1.0,0.0,2.0
Corbin Bosch,SA,ALL,6.25,13.25,0.0,25.252525252525253,4.0501556554825315,36.0,27.0,0.5,0.0,0.0,0.0,2.75,1.5,0.25,4.25,0.0,17.75
Daryl Mitchell,NZ,BAT,11.986301369863014,24.246575342465754,0.4520547945205479,23.56063613170618,1.2002268881693325,4.013698630136986,4.315068493150685,0.1780821917808219,0.3698630136986301,0.0,0.0,0.2602739726027397,1.821917808219178,0.684931506849315,0.684931506849315,0.0,20.054794520547944
David Miller,SA,BAT,10.518181818181818,20.186363636363637,0.4818181818181818,33.86564828330678,0.0,0.0,0.0,0.0,0.39545454545454545,0.0,0.05454545454545454,0.0,1.5045454545454546,0.6272727272727273,0.0,0.0,13.85909090909091
Devon Conway,NZ,WK,13.833333333333334,36.23809523809524,0.6666666666666666,21.563997628764124,0.0,0.0,0.0,0.0,0.40476190476190477,0.0,0.0,0.0,3.8095238095238093,0.40476190476190477,0.0,0.0,17.523809523809526
Faheem Ashraf,PAK,ALL,1.6875,4.40625,0.3125,15.910896600658115,2.4876272368710994,18.359375,21.390625,0.40625,0.15625,0.0,0.0,0.578125,0.28125,0.109375,3.484375,0.015625,13.078125
Fakhar Zaman,PAK,BAT,12.82905982905983,32.64102564102564,0.6153846153846154,21.988796581886675,0.26700009392317087,0.9572649572649573,1.1538461538461537,0.008547008547008548,0.3418803418803419,0.0,0.0,0.008547008547008548,3.3846153846153846,0.6752136752136753,0.1794871794871795,0.0,16.623931623931625
