Credits,Player Type,Player Name,Team_x,Unnamed: 0,MatchID,Stadium,Runs,FBalls,Dismissals,StrikeRate,Economy,Runs Conceded,Balls Bowled,Wickets,Catches,Stumpings,RunOuts,Extras,Fours,Sixes,Overs,Maidens,Score
9.0,BOWL,Adam Zampa,AUS,138,3822.0,Sydney Cricket Ground,0,0,0,0.0,5.508196721311475,56,61,3,0,0,0,2,0,0,10,0,80
9.0,BOWL,Adam Zampa,AUS,178,3826.0,Adelaide Oval,0,0,0,0.0,6.654545454545454,61,55,1,0,0,0,2,0,0,9,0,24
9.0,BOWL,Adam Zampa,AUS,200,3811.0,Sydney Cricket Ground,2,2,0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,222,3811.0,Sydney Cricket Ground,0,0,0,0.0,6.6000000000000005,66,60,2,0,0,0,0,0,0,10,0,49
9.0,BOWL,Adam Zampa,AUS,649,3832.0,Seddon Park,1,5,1,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,655,3832.0,Seddon Park,0,0,0,0.0,5.857142857142857,41,42,0,0,0,0,0,0,0,7,0,1
9.0,BOWL,Adam Zampa,AUS,1009,3879.0,Kennington Oval,0,0,0,0.0,3.25,13,24,2,0,0,0,0,0,0,4,0,53
9.0,BOWL,Adam Zampa,AUS,1171,3885.0,Edgbaston,0,3,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,1190,3885.0,Edgbaston,0,0,0,0.0,6.117647058823529,52,51,0,0,0,0,1,0,0,8,0,-1
9.0,BOWL,Adam Zampa,AUS,1199,3885.0,Edgbaston,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,5
9.0,BOWL,Adam Zampa,AUS,3575,3951.0,Melbourne Cricket Ground,0,0,0,0.0,7.081967213114754,72,61,0,0,0,0,1,0,0,10,0,-3
9.0,BOWL,Adam Zampa,AUS,3645,3960.0,Sydney Cricket Ground,0,0,0,0.0,6.111111111111112,55,54,1,0,0,0,0,0,0,9,0,24
9.0,BOWL,Adam Zampa,AUS,3654,3960.0,Sydney Cricket Ground,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,5
9.0,BOWL,Adam Zampa,AUS,3684,3966.0,Adelaide Oval,0,0,0,0.0,5.8604651162790695,42,43,0,0,0,0,1,0,0,7,0,1
9.0,BOWL,Adam Zampa,AUS,3722,3968.0,Perth Stadium,7,17,1,41.17647058823529,0.0,0,0,0,0,0,0,0,1,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,3728,3968.0,Perth Stadium,0,0,0,0.0,4.524590163934426,46,61,1,0,0,0,1,0,0,10,0,28
9.0,BOWL,Adam Zampa,AUS,7336,3910.0,"MA Chidambaram Stadium, Chepauk",5,4,0,125.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5
9.0,BOWL,Adam Zampa,AUS,7341,3910.0,"MA Chidambaram Stadium, Chepauk",0,0,0,0.0,6.6000000000000005,66,60,1,0,0,0,0,0,0,10,0,24
9.0,BOWL,Adam Zampa,AUS,7461,3917.0,M.Chinnaswamy Stadium,0,0,0,0.0,7.111111111111111,64,54,1,0,0,0,1,0,0,9,0,22
9.0,BOWL,Adam Zampa,AUS,7495,3919.0,"Vidarbha Cricket Association Stadium, Jamtha",0,0,0,0.0,7.375,59,48,2,0,0,0,0,0,0,8,0,47
9.0,BOWL,Adam Zampa,AUS,11645,4152.0,Trent Bridge,0,0,0,0.0,5.9,59,60,1,0,0,0,1,0,0,10,0,26
9.0,BOWL,Adam Zampa,AUS,11656,4152.0,Trent Bridge,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,5
9.0,BOWL,Adam Zampa,AUS,11711,4155.0,Kennington Oval,1,3,1,33.33333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,11716,4155.0,Kennington Oval,0,0,0,0.0,8.333333333333332,50,36,0,0,0,0,0,0,0,6,0,-3
9.0,BOWL,Adam Zampa,AUS,11984,4166.0,Trent Bridge,0,0,0,0.0,7.418181818181818,68,55,1,0,0,0,1,0,0,9,0,22
9.0,BOWL,Adam Zampa,AUS,12827,4067.0,Adelaide Oval,14,24,1,58.333333333333336,0.0,0,0,0,0,0,0,0,2,0,0,0,12
9.0,BOWL,Adam Zampa,AUS,12848,4067.0,Adelaide Oval,0,0,0,0.0,6.333333333333334,57,54,0,0,0,0,0,0,0,9,0,-1
9.0,BOWL,Adam Zampa,AUS,12854,4067.0,Adelaide Oval,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,5
9.0,BOWL,Adam Zampa,AUS,12873,4069.0,Bellerive Oval,0,3,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,12879,4069.0,Bellerive Oval,0,0,0,0.0,5.333333333333333,32,36,0,0,0,0,0,0,0,6,0,1
9.0,BOWL,Adam Zampa,AUS,12977,4079.0,Melbourne Cricket Ground,8,14,1,57.14285714285714,0.0,0,0,0,0,0,0,0,0,0,0,0,4
9.0,BOWL,Adam Zampa,AUS,12995,4079.0,Melbourne Cricket Ground,0,0,0,0.0,3.4,34,60,0,0,0,0,0,0,0,10,0,3
9.0,BOWL,Adam Zampa,AUS,15458,4102.0,"Rajiv Gandhi International Stadium, Uppal",0,0,0,0.0,4.819672131147541,49,61,2,0,0,0,1,0,0,10,0,53
9.0,BOWL,Adam Zampa,AUS,15487,4106.0,"Vidarbha Cricket Association Stadium, Jamtha",2,2,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,15491,4106.0,"Vidarbha Cricket Association Stadium, Jamtha",0,0,0,0.0,6.4,64,60,3,0,0,0,2,0,0,10,0,78
9.0,BOWL,Adam Zampa,AUS,15500,4106.0,"Vidarbha Cricket Association Stadium, Jamtha",0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,5
9.0,BOWL,Adam Zampa,AUS,15534,4109.0,JSCA International Stadium Complex,0,0,0,0.0,7.161290322580646,74,62,3,0,0,0,6,0,0,10,0,76
9.0,BOWL,Adam Zampa,AUS,15564,4111.0,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0,0.0,5.699999999999999,57,60,1,0,0,0,0,0,0,10,0,26
