"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9"
"(NZ)","PA Hitchcock","https://stats.espncricinfo.com/ci/content/player/37263.html","2002-2008","14","13","4","4","0","0","4","1 (1ct 0st)","0.307"
"(ENG)","RD Jackman","https://stats.espncricinfo.com/ci/content/player/15461.html","1974-1983","15","15","4","4","0","0","4","1 (1ct 0st)","0.266"
"(PAK)","Kamran Ghulam","https://stats.espncricinfo.com/ci/content/player/623636.html","2023-2025","11","11","4","4","0","0","4","1 (1ct 0st)","0.363"
"(AUS)","MF Kent","https://stats.espncricinfo.com/ci/content/player/6143.html","1981-1981","5","5","4","4","0","0","4","2 (2ct 0st)","0.800"
"(SA)","RK Kleinveldt","https://stats.espncricinfo.com/ci/content/player/45949.html","2013-2013","10","10","4","4","0","0","4","2 (2ct 0st)","0.400"
"(IND)","A Kuruvilla","https://stats.espncricinfo.com/ci/content/player/30182.html","1997-1997","25","25","4","4","0","0","4","1 (1ct 0st)","0.160"
"(NZ)","MJ McClenaghan","https://stats.espncricinfo.com/ci/content/player/319439.html","2013-2016","48","46","4","4","0","0","4","1 (1ct 0st)","0.086"
"(ENG)","A McGrath","https://stats.espncricinfo.com/ci/content/player/16975.html","2003-2004","14","13","4","4","0","0","4","2 (2ct 0st)","0.307"
"(IND)","AO Malhotra","https://stats.espncricinfo.com/ci/content/player/30912.html","1982-1986","20","20","4","4","0","0","4","1 (1ct 0st)","0.200"
"(AUS)","AA Mallett","https://stats.espncricinfo.com/ci/content/player/6472.html","1971-1975","9","9","4","4","0","0","4","1 (1ct 0st)","0.444"
"(ENG)","AD Mascarenhas","https://stats.espncricinfo.com/ci/content/player/16932.html","2007-2009","20","20","4","4","0","0","4","2 (2ct 0st)","0.200"
"(NZ)","MJ Mason","https://stats.espncricinfo.com/ci/content/player/37701.html","2003-2010","26","25","4","4","0","0","4","1 (1ct 0st)","0.160"
"(ENG)","MP Maynard","https://stats.espncricinfo.com/ci/content/player/16951.html","1994-2000","14","13","4","4","0","0","4","1 (1ct 0st)","0.307"
"(ENG)","G Miller","https://stats.espncricinfo.com/ci/content/player/17025.html","1977-1984","25","25","4","4","0","0","4","2 (2ct 0st)","0.160"
"(BAN)","Mohammad Naim","https://stats.espncricinfo.com/ci/content/player/990081.html","2020-2023","8","8","4","4","0","0","4","2 (2ct 0st)","0.500"
"(BAN)","Mohammad Saifuddin","https://stats.espncricinfo.com/ci/content/player/629070.html","2017-2021","29","29","4","4","0","0","4","1 (1ct 0st)","0.137"
"(PAK)","Mohammad Wasim (1)","https://stats.espncricinfo.com/ci/content/player/1185538.html","2022-2023","20","20","4","4","0","0","4","1 (1ct 0st)","0.200"
"(PAK)","Mohsin Kamal","https://stats.espncricinfo.com/ci/content/player/41301.html","1984-1989","19","19","4","4","0","0","4","1 (1ct 0st)","0.210"
"(BAN)","Mominul Haque","https://stats.espncricinfo.com/ci/content/player/373696.html","2012-2018","28","28","4","4","0","0","4","1 (1ct 0st)","0.142"
"(AFG)","Nasir Jamal","https://stats.espncricinfo.com/ci/content/player/524048.html","2014-2018","16","15","4","4","0","0","4","2 (2ct 0st)","0.266"
