"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9"
"(AUS)","LR Morris","https://stats.espncricinfo.com/ci/content/player/1125317.html","2024-2024","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"(BAN)","Mosharraf Hossain","https://stats.espncricinfo.com/ci/content/player/56017.html","2008-2016","5","5","1","1","0","0","1","1 (1ct 0st)","0.200"
"(ENG)","DR Mousley","https://stats.espncricinfo.com/ci/content/player/1172968.html","2024-2024","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"(SA)","M Mpongwana","https://stats.espncricinfo.com/ci/content/player/948593.html","2025-2025","1","1","1","1","0","0","1","1 (1ct 0st)","1.000"
"(IND)","Mukesh Kumar","https://stats.espncricinfo.com/ci/content/player/926851.html","2023-2023","6","6","1","1","0","0","1","1 (1ct 0st)","0.166"
"(IND)","SP Mukherjee","https://stats.espncricinfo.com/ci/content/player/31048.html","1990-1991","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
"(SA)","S Muthusamy","https://stats.espncricinfo.com/ci/content/player/535393.html","2025-2025","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"(PAK)","Naeem Ahmed","https://stats.espncricinfo.com/ci/content/player/42071.html","1978-1978","1","1","1","1","0","0","1","1 (1ct 0st)","1.000"
"(AFG)","Nangeyalia Kharote","https://stats.espncricinfo.com/ci/content/player/1199434.html","2024-2024","7","7","1","1","0","0","1","1 (1ct 0st)","0.142"
"(IND)","SV Nayak","https://stats.espncricinfo.com/ci/content/player/31808.html","1981-1982","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"(BAN)","Nazimuddin","https://stats.espncricinfo.com/ci/content/player/56059.html","2008-2012","11","11","1","1","0","0","1","1 (1ct 0st)","0.090"
"(BAN)","Neeyamur Rashid","https://stats.espncricinfo.com/ci/content/player/56044.html","1999-1999","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"(AUS)","MG Neser","https://stats.espncricinfo.com/ci/content/player/376169.html","2018-2023","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"(AFG)","Noor-ul-Haq","https://stats.espncricinfo.com/ci/content/player/307652.html","2010-2010","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"(AFG)","Noor Ahmad","https://stats.espncricinfo.com/ci/content/player/1182529.html","2022-2024","10","10","1","1","0","0","1","1 (1ct 0st)","0.100"
"(AUS)","MJ North","https://stats.espncricinfo.com/ci/content/player/6943.html","2009-2009","2","2","1","1","0","0","1","1 (1ct 0st)","0.500"
"(NZ)","IE O'Brien","https://stats.espncricinfo.com/ci/content/player/38108.html","2008-2009","10","10","1","1","0","0","1","1 (1ct 0st)","0.100"
"(IND)","NV Ojha","https://stats.espncricinfo.com/ci/content/player/32102.html","2010-2010","1","1","1","0","1","0","0","1 (0ct 1st)","1.000"
"(ENG)","G Onions","https://stats.espncricinfo.com/ci/content/player/18389.html","2009-2009","4","4","1","1","0","0","1","1 (1ct 0st)","0.250"
"(ENG)","J Overton","https://stats.espncricinfo.com/ci/content/player/510530.html","2024-2025","3","3","1","1","0","0","1","1 (1ct 0st)","0.333"
