"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9"
"(PAK)","Ramiz Raja","https://stats.espncricinfo.com/ci/content/player/42420.html","1985-1997","198","193","33","33","0","0","33","2 (2ct 0st)","0.170"
"(AFG)","Rashid Khan","https://stats.espncricinfo.com/ci/content/player/793463.html","2015-2024","111","108","33","33","0","0","33","3 (3ct 0st)","0.305"
"(IND)","RR Singh","https://stats.espncricinfo.com/ci/content/player/34059.html","1989-2001","136","135","33","33","0","0","33","2 (2ct 0st)","0.244"
"(BAN)","Abdur Razzak","https://stats.espncricinfo.com/ci/content/player/56283.html","2004-2014","153","153","32","32","0","0","32","2 (2ct 0st)","0.209"
"(SA)","AK Markram","https://stats.espncricinfo.com/ci/content/player/600498.html","2017-2024","74","72","32","32","0","0","32","3 (3ct 0st)","0.444"
"(IND)","J Srinath","https://stats.espncricinfo.com/ci/content/player/34105.html","1991-2003","229","227","32","32","0","0","32","2 (2ct 0st)","0.140"
"(ENG)","RW Taylor","https://stats.espncricinfo.com/ci/content/player/21494.html","1973-1984","27","27","32","26","6","26","0","4 (4ct 0st)","1.185"
"(IND)","R Ashwin","https://stats.espncricinfo.com/ci/content/player/26421.html","2010-2023","116","115","31","31","0","0","31","3 (3ct 0st)","0.269"
"(SA)","JM Kemp","https://stats.espncricinfo.com/ci/content/player/45797.html","2001-2007","79","78","31","31","0","0","31","3 (3ct 0st)","0.397"
"(ENG)","AJ Lamb","https://stats.espncricinfo.com/ci/content/player/16178.html","1982-1992","122","122","31","31","0","0","31","2 (2ct 0st)","0.254"
"(AUS)","GR Marsh","https://stats.espncricinfo.com/ci/content/player/6499.html","1986-1992","117","117","31","31","0","0","31","2 (2ct 0st)","0.264"
"(IND)","Mohammed Shami","https://stats.espncricinfo.com/ci/content/player/481896.html","2013-2025","103","102","31","31","0","0","31","2 (2ct 0st)","0.303"
"(NZ)","LK Germon","https://stats.espncricinfo.com/ci/content/player/37101.html","1994-1997","37","37","30","21","9","21","0","4 (4ct 0st)","0.810"
"(AUS)","JR Hazlewood","https://stats.espncricinfo.com/ci/content/player/288284.html","2010-2024","91","91","30","30","0","0","30","2 (2ct 0st)","0.329"
"(IND)","SS Karim","https://stats.espncricinfo.com/ci/content/player/30042.html","1997-2000","34","34","30","27","3","27","0","4 (3ct 1st)","0.882"
"(NZ)","WK Lees","https://stats.espncricinfo.com/ci/content/player/37605.html","1979-1983","31","31","30","28","2","28","0","4 (4ct 0st)","0.967"
"(PAK)","Mushtaq Ahmed","https://stats.espncricinfo.com/ci/content/player/41316.html","1989-2003","144","144","30","30","0","0","30","2 (2ct 0st)","0.208"
"(NZ)","HM Nicholls","https://stats.espncricinfo.com/ci/content/player/539511.html","2015-2024","78","75","30","30","0","0","30","2 (2ct 0st)","0.400"
"(SA)","M Ntini","https://stats.espncricinfo.com/ci/content/player/46592.html","1998-2009","172","170","30","30","0","0","30","2 (2ct 0st)","0.176"
"(IND)","CS Pandit","https://stats.espncricinfo.com/ci/content/player/32179.html","1986-1992","36","36","30","15","15","15","0","4 (2ct 2st)","0.833"
