"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9"
"(AUS)","AC Gilchrist","https://stats.espncricinfo.com/ci/content/player/5390.html","1996-2008","286","285","470","416","54","416","0","6 (6ct 0st)","1.649"
"(IND)","MS Dhoni","https://stats.espncricinfo.com/ci/content/player/28081.html","2004-2019","347","342","438","318","120","318","0","6 (5ct 1st)","1.280"
"(SA)","MV Boucher","https://stats.espncricinfo.com/ci/content/player/44111.html","1998-2011","290","286","416","395","21","394","1","6 (6ct 0st)","1.454"
"(BAN)","Mushfiqur Rahim","https://stats.espncricinfo.com/ci/content/player/56029.html","2006-2024","272","270","298","242","56","240","2","5 (5ct 0st)","1.103"
"(PAK)","Moin Khan","https://stats.espncricinfo.com/ci/content/player/41306.html","1990-2004","219","217","287","214","73","214","0","5 (5ct 0st)","1.322"
"(NZ)","BB McCullum","https://stats.espncricinfo.com/ci/content/player/37737.html","2002-2016","260","257","277","262","15","227","35","5 (5ct 0st)","1.077"
"(ENG)","JC Buttler","https://stats.espncricinfo.com/ci/content/player/308967.html","2012-2025","184","180","260","223","37","221","2","6 (6ct 0st)","1.444"
"(AUS)","IA Healy","https://stats.espncricinfo.com/ci/content/player/5628.html","1988-1997","168","168","233","194","39","194","0","4 (4ct 0st)","1.386"
"(SA)","Q de Kock","https://stats.espncricinfo.com/ci/content/player/379143.html","2013-2023","155","149","226","209","17","209","0","6 (6ct 0st)","1.516"
"(PAK)","Rashid Latif","https://stats.espncricinfo.com/ci/content/player/42423.html","1992-2003","166","164","220","182","38","182","0","5 (5ct 0st)","1.341"
"(IND)","R Dravid","https://stats.espncricinfo.com/ci/content/player/28114.html","1996-2011","340","337","210","196","14","72","124","4 (4ct 0st)","0.623"
"(PAK)","Kamran Akmal","https://stats.espncricinfo.com/ci/content/player/41028.html","2002-2017","157","154","188","157","31","156","1","5 (4ct 1st)","1.220"
"(AUS)","BJ Haddin","https://stats.espncricinfo.com/ci/content/player/5560.html","2001-2015","126","124","181","170","11","170","0","5 (5ct 0st)","1.459"
"(SA)","AB de Villiers","https://stats.espncricinfo.com/ci/content/player/44936.html","2005-2018","223","218","176","171","5","93","78","5 (5ct 0st)","0.807"
"(ENG)","AJ Stewart","https://stats.espncricinfo.com/ci/content/player/20372.html","1989-2003","170","169","174","159","15","148","11","6 (6ct 0st)","1.029"
"(SA)","DJ Richardson","https://stats.espncricinfo.com/ci/content/player/46978.html","1991-1998","122","121","165","148","17","148","0","5 (5ct 0st)","1.363"
"(AUS)","RT Ponting","https://stats.espncricinfo.com/ci/content/player/7133.html","1995-2012","374","371","159","159","0","0","159","3 (3ct 0st)","0.428"
"(IND)","M Azharuddin","https://stats.espncricinfo.com/ci/content/player/26329.html","1985-2000","334","332","156","156","0","0","156","4 (4ct 0st)","0.469"
"(IND)","V Kohli","https://stats.espncricinfo.com/ci/content/player/253802.html","2008-2025","297","294","154","154","0","0","154","3 (3ct 0st)","0.523"
"(IND)","NR Mongia","https://stats.espncricinfo.com/ci/content/player/31036.html","1994-2000","140","139","154","110","44","110","0","5 (4ct 1st)","1.107"
