"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9"
"(AFG)","Dawlat Zadran","https://stats.espncricinfo.com/ci/content/player/516561.html","2011-2019","82","80","16","16","0","0","16","2 (2ct 0st)","0.200"
"(ENG)","BN French","https://stats.espncricinfo.com/ci/content/player/12923.html","1985-1988","13","13","16","13","3","13","0","3 (3ct 0st)","1.230"
"(AUS)","BJ Hodge","https://stats.espncricinfo.com/ci/content/player/5674.html","2005-2007","25","25","16","16","0","0","16","2 (2ct 0st)","0.640"
"(NZ)","GP Howarth","https://stats.espncricinfo.com/ci/content/player/37254.html","1975-1985","70","69","16","16","0","0","16","2 (2ct 0st)","0.231"
"(ENG)","APE Knott","https://stats.espncricinfo.com/ci/content/player/15917.html","1971-1977","20","19","16","15","1","15","0","4 (4ct 0st)","0.842"
"(IND)","Kuldeep Yadav","https://stats.espncricinfo.com/ci/content/player/559235.html","2017-2025","108","106","16","16","0","0","16","1 (1ct 0st)","0.150"
"(PAK)","Naved-ul-Hasan","https://stats.espncricinfo.com/ci/content/player/42272.html","2003-2010","74","72","16","16","0","0","16","2 (2ct 0st)","0.222"
"(IND)","A Ratra","https://stats.espncricinfo.com/ci/content/player/33127.html","2002-2002","12","12","16","11","5","11","0","3 (2ct 1st)","1.333"
"(ENG)","PD Salt","https://stats.espncricinfo.com/ci/content/player/669365.html","2021-2025","30","29","16","16","0","7","9","3 (3ct 0st)","0.551"
"(ENG)","VS Solanki","https://stats.espncricinfo.com/ci/content/player/20286.html","2000-2006","51","50","16","16","0","0","16","2 (2ct 0st)","0.320"
"(PAK)","Zaheer Abbas","https://stats.espncricinfo.com/ci/content/player/43695.html","1974-1985","62","60","16","16","0","0","16","2 (2ct 0st)","0.266"
"(BAN)","Anamul Haque","https://stats.espncricinfo.com/ci/content/player/380354.html","2012-2024","49","49","15","15","0","6","9","3 (3ct 0st)","0.306"
"(PAK)","Anil Dalpat","https://stats.espncricinfo.com/ci/content/player/38999.html","1984-1986","15","14","15","13","2","13","0","3 (3ct 0st)","1.071"
"(ENG)","MA Atherton","https://stats.espncricinfo.com/ci/content/player/8579.html","1990-1998","54","54","15","15","0","0","15","2 (2ct 0st)","0.277"
"(PAK)","Basit Ali","https://stats.espncricinfo.com/ci/content/player/39954.html","1993-1996","50","49","15","15","0","0","15","2 (2ct 0st)","0.306"
"(NZ)","TA Blundell","https://stats.espncricinfo.com/ci/content/player/440516.html","2020-2023","12","11","15","13","2","12","1","3 (2ct 1st)","1.363"
"(NZ)","SE Bond","https://stats.espncricinfo.com/ci/content/player/36326.html","2002-2010","82","80","15","15","0","0","15","2 (2ct 0st)","0.187"
"(SA)","PS de Villiers","https://stats.espncricinfo.com/ci/content/player/44696.html","1992-1997","83","82","15","15","0","0","15","2 (2ct 0st)","0.182"
"(ENG)","ST Finn","https://stats.espncricinfo.com/ci/content/player/210283.html","2011-2017","69","67","15","15","0","0","15","2 (2ct 0st)","0.223"
"(PAK)","Imam-ul-Haq","https://stats.espncricinfo.com/ci/content/player/568276.html","2017-2023","72","71","15","15","0","0","15","2 (2ct 0st)","0.211"
