"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9"
"(AFG)","Mirwais Ashraf","https://stats.espncricinfo.com/ci/content/player/387420.html","2009-2016","46","45","8","8","0","0","8","2 (2ct 0st)","0.177"
"(PAK)","Mohammad Akram","https://stats.espncricinfo.com/ci/content/player/41282.html","1995-2000","23","21","8","8","0","0","8","2 (2ct 0st)","0.380"
"(PAK)","Mohammad Amir","https://stats.espncricinfo.com/ci/content/player/290948.html","2009-2019","61","60","8","8","0","0","8","2 (2ct 0st)","0.133"
"(ENG)","AD Mullally","https://stats.espncricinfo.com/ci/content/player/17121.html","1996-2001","50","49","8","8","0","0","8","2 (2ct 0st)","0.163"
"(ENG)","CM Old","https://stats.espncricinfo.com/ci/content/player/18256.html","1973-1981","32","32","8","8","0","0","8","2 (2ct 0st)","0.250"
"(IND)","SLV Raju","https://stats.espncricinfo.com/ci/content/player/33044.html","1990-1996","53","52","8","8","0","0","8","1 (1ct 0st)","0.153"
"(ENG)","MR Ramprakash","https://stats.espncricinfo.com/ci/content/player/19323.html","1991-2001","18","18","8","8","0","0","8","2 (2ct 0st)","0.444"
"(SA)","RD Rickelton","https://stats.espncricinfo.com/ci/content/player/605661.html","2023-2024","6","6","8","6","2","5","1","3 (1ct 2st)","1.333"
"(SA)","MJR Rindel","https://stats.espncricinfo.com/ci/content/player/46987.html","1994-1999","22","22","8","8","0","0","8","2 (2ct 0st)","0.363"
"(PAK)","Sarfraz Nawaz","https://stats.espncricinfo.com/ci/content/player/42630.html","1973-1984","45","45","8","8","0","0","8","1 (1ct 0st)","0.177"
"(NZ)","TL Seifert","https://stats.espncricinfo.com/ci/content/player/625964.html","2019-2019","3","3","8","7","1","7","0","4 (4ct 0st)","2.666"
"(BAN)","Shafiul Islam","https://stats.espncricinfo.com/ci/content/player/288305.html","2010-2020","60","60","8","8","0","0","8","2 (2ct 0st)","0.133"
"(AUS)","SB Smith","https://stats.espncricinfo.com/ci/content/player/7656.html","1983-1985","28","27","8","8","0","0","8","1 (1ct 0st)","0.296"
"(BAN)","Syed Rasel","https://stats.espncricinfo.com/ci/content/player/56160.html","2005-2010","52","52","8","8","0","0","8","2 (2ct 0st)","0.153"
"(AUS)","SW Tait","https://stats.espncricinfo.com/ci/content/player/8076.html","2007-2011","35","35","8","8","0","0","8","2 (2ct 0st)","0.228"
"(BAN)","Tapash Baisya","https://stats.espncricinfo.com/ci/content/player/56176.html","2002-2007","56","56","8","8","0","0","8","1 (1ct 0st)","0.142"
"(BAN)","Towhid Hridoy","https://stats.espncricinfo.com/ci/content/player/990031.html","2023-2024","33","32","8","8","0","0","8","2 (2ct 0st)","0.250"
"(AUS)","MRJ Veletta","https://stats.espncricinfo.com/ci/content/player/8105.html","1987-1989","20","20","8","8","0","1","7","3 (3ct 0st)","0.400"
"(AUS)","DM Wellham","https://stats.espncricinfo.com/ci/content/player/8198.html","1981-1987","17","17","8","8","0","0","8","2 (2ct 0st)","0.470"
"(AUS)","KJ Wright","https://stats.espncricinfo.com/ci/content/player/8264.html","1979-1979","5","5","8","8","0","8","0","2 (2ct 0st)","1.600"
