"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","data1 11","padAst"
"(IND)","SR Tendulkar","https://stats.espncricinfo.com/ci/content/player/35320.html","1989-2012","463","452","41","18426","200*","44.83","21368","86.23","49","96","20",""
"(IND)","V Kohli","https://stats.espncricinfo.com/ci/content/player/253802.html","2008-2025","297","285","44","13963","57.93","14929","93.52","50","73","16","","183"
"(AUS)","RT Ponting","https://stats.espncricinfo.com/ci/content/player/7133.html","1995-2012","374","364","39","13589","41.81","16944","80.19","29","82","20","","164"
"(PAK)","Inzamam-ul-Haq","https://stats.espncricinfo.com/ci/content/player/40570.html","1991-2007","375","348","52","11701","137*","39.53","15769","74.20","10","83","20",""
"(SA)","JH Kallis","https://stats.espncricinfo.com/ci/content/player/45789.html","1996-2014","323","309","53","11550","45.11","15793","73.13","17","86","17","","139"
"(IND)","SC Ganguly","https://stats.espncricinfo.com/ci/content/player/28779.html","1992-2007","308","297","23","11221","40.95","15235","73.65","22","71","16","","183"
"(IND)","RG Sharma","https://stats.espncricinfo.com/ci/content/player/34102.html","2007-2025","268","260","36","10988","49.05","11854","92.69","32","57","16","","264"
"(IND)","R Dravid","https://stats.espncricinfo.com/ci/content/player/28114.html","1996-2011","340","314","39","10768","39.15","15127","71.18","12","82","13","","153"
"(IND)","MS Dhoni","https://stats.espncricinfo.com/ci/content/player/28081.html","2004-2019","347","294","83","10599","183*","50.23","12164","87.13","9","73","10",""
"(AUS)","AC Gilchrist","https://stats.espncricinfo.com/ci/content/player/5390.html","1996-2008","286","278","11","9595","35.93","9902","96.89","16","55","19","","172"
"(PAK)","Mohammad Yousuf","https://stats.espncricinfo.com/ci/content/player/43650.html","1998-2010","281","267","40","9554","141*","42.08","12753","74.91","15","62","15",""
"(SA)","AB de Villiers","https://stats.espncricinfo.com/ci/content/player/44936.html","2005-2018","223","213","39","9427","54.17","9308","101.27","25","52","7","","176"
"(IND)","M Azharuddin","https://stats.espncricinfo.com/ci/content/player/26329.html","1985-2000","334","308","54","9378","153*","36.92","12669","74.02","7","58","9",""
"(PAK)","Saeed Anwar","https://stats.espncricinfo.com/ci/content/player/42605.html","1989-2003","247","244","19","8824","39.21","10938","80.67","20","43","15","","194"
"(IND)","Yuvraj Singh","https://stats.espncricinfo.com/ci/content/player/36084.html","2000-2017","301","275","39","8609","36.47","9846","87.43","14","52","18","","150"
"(NZ)","LRPL Taylor","https://stats.espncricinfo.com/ci/content/player/38699.html","2006-2022","236","220","39","8607","181*","47.55","10330","83.32","21","51","9",""
"(AUS)","ME Waugh","https://stats.espncricinfo.com/ci/content/player/8189.html","1988-2002","244","236","20","8500","39.35","11053","76.90","18","50","16","","173"
"(BAN)","Tamim Iqbal","https://stats.espncricinfo.com/ci/content/player/56194.html","2007-2023","243","240","12","8357","36.65","10642","78.52","14","56","19","","158"
"(SA)","HM Amla","https://stats.espncricinfo.com/ci/content/player/43906.html","2008-2019","181","178","14","8113","49.46","9178","88.39","27","39","4","","159"
"(SA)","HH Gibbs","https://stats.espncricinfo.com/ci/content/player/45224.html","1996-2010","248","240","16","8094","36.13","9721","83.26","21","37","22","","175"
