"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","data1 11","padAst"
"(IND)","SB Joshi","https://stats.espncricinfo.com/ci/content/player/29725.html","1996-2001","69","45","11","584","61*","17.17","653","89.43","0","1","4",""
"(NZ)","RT Latham","https://stats.espncricinfo.com/ci/content/player/37602.html","1990-1994","33","33","4","583","20.10","1008","57.83","0","1","3","","60"
"(NZ)","FH Allen","https://stats.espncricinfo.com/ci/content/player/959759.html","2022-2023","22","21","0","582","27.71","624","93.26","0","5","3","","96"
"(SA)","J Botha","https://stats.espncricinfo.com/ci/content/player/44149.html","2005-2012","76","48","17","578","18.64","693","83.40","0","0","2","","46"
"(AUS)","MA Starc","https://stats.espncricinfo.com/ci/content/player/311592.html","2010-2024","127","75","27","577","52*","12.02","744","77.55","0","1","12",""
"(AUS)","BJ Hodge","https://stats.espncricinfo.com/ci/content/player/5674.html","2005-2007","25","21","2","575","30.26","657","87.51","1","3","3","","123"
"(SA)","MJR Rindel","https://stats.espncricinfo.com/ci/content/player/46987.html","1994-1999","22","22","1","575","27.38","860","66.86","1","2","1","","106"
"(SA)","WD Parnell","https://stats.espncricinfo.com/ci/content/player/265564.html","2009-2023","73","43","15","574","20.50","723","79.39","0","1","3","","56"
"(BAN)","Tushar Imran","https://stats.espncricinfo.com/ci/content/player/56186.html","2001-2007","41","40","0","574","14.35","970","59.17","0","2","8","","65"
"(NZ)","BJ Watling","https://stats.espncricinfo.com/ci/content/player/38924.html","2010-2018","28","25","2","573","96*","24.91","838","68.37","0","5","3",""
"(ENG)","C White","https://stats.espncricinfo.com/ci/content/player/22403.html","1994-2003","51","41","5","568","57*","15.77","928","61.20","0","1","9",""
"(IND)","MK Pandey","https://stats.espncricinfo.com/ci/content/player/290630.html","2015-2021","29","24","7","566","104*","33.29","625","90.56","1","2","2",""
"(IND)","KS More","https://stats.espncricinfo.com/ci/content/player/31038.html","1984-1993","94","65","22","563","42*","13.09","808","69.67","0","0","5",""
"(BAN)","Mominul Haque","https://stats.espncricinfo.com/ci/content/player/373696.html","2012-2018","28","26","1","557","22.28","749","74.36","0","3","1","","60"
"(PAK)","Aamer Malik","https://stats.espncricinfo.com/ci/content/player/38965.html","1988-1994","24","23","1","556","25.27","989","56.21","0","5","1","","90"
"(SA)","RJ Peterson","https://stats.espncricinfo.com/ci/content/player/46750.html","2002-2014","79","41","14","556","20.59","688","80.81","0","1","4","","68"
"(IND)","B Kumar","https://stats.espncricinfo.com/ci/content/player/326016.html","2012-2022","121","55","16","552","53*","14.15","747","73.89","0","1","8",""
"(AUS)","GS Blewett","https://stats.espncricinfo.com/ci/content/player/4161.html","1995-1999","32","30","3","551","57*","20.40","889","61.97","0","2","3",""
"(PAK)","Mohammad Wasim","https://stats.espncricinfo.com/ci/content/player/41297.html","1996-2000","25","25","2","543","23.60","1043","52.06","0","3","4","","76"
"(SA)","AP Kuiper","https://stats.espncricinfo.com/ci/content/player/45840.html","1991-1996","25","23","7","539","63*","33.68","662","81.41","0","3","0",""
