"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","padAst","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","data1 11"
"(ENG)","CL Smith","https://stats.espncricinfo.com/ci/content/player/20233.html","1984-1984","4","4","0","109","70","27.25","240","45.41","0","1","0",""
"(NZ)","MJ McClenaghan","https://stats.espncricinfo.com/ci/content/player/319439.html","2013-2016","48","14","10","108","","34*","27.00","138","78.26","0","0","0"
"(AFG)","Hamid Hassan","https://stats.espncricinfo.com/ci/content/player/311427.html","2009-2019","38","22","6","107","17","6.68","195","54.87","0","0","4",""
"(ENG)","SJ Rhodes","https://stats.espncricinfo.com/ci/content/player/19374.html","1989-1995","9","8","2","107","56","17.83","150","71.33","0","1","0",""
"(IND)","NA Saini","https://stats.espncricinfo.com/ci/content/player/700167.html","2019-2021","8","5","3","107","45","53.50","137","78.10","0","0","0",""
"(ENG)","G Cook","https://stats.espncricinfo.com/ci/content/player/10793.html","1981-1983","6","6","0","106","32","17.66","261","40.61","0","0","0",""
"(ENG)","SR Hain","https://stats.espncricinfo.com/ci/content/player/555850.html","2023-2023","2","2","0","106","89","53.00","100","106.00","0","1","0",""
"(BAN)","Faruk Ahmed","https://stats.espncricinfo.com/ci/content/player/55885.html","1988-1999","7","7","0","105","57","15.00","273","38.46","0","1","1",""
"(SA)","RK Kleinveldt","https://stats.espncricinfo.com/ci/content/player/45949.html","2013-2013","10","7","0","105","43","15.00","124","84.67","0","0","1",""
"(AUS)","TJ Laughlin","https://stats.espncricinfo.com/ci/content/player/6261.html","1978-1979","6","5","1","105","74","26.25","160","65.62","0","1","0",""
"(AUS)","PM Toohey","https://stats.espncricinfo.com/ci/content/player/7959.html","1978-1979","5","4","2","105","","54*","52.50","133","78.94","0","1","0"
"(ENG)","AAP Atkinson","https://stats.espncricinfo.com/ci/content/player/1039481.html","2023-2025","11","8","2","104","38","17.33","76","136.84","0","0","1",""
"(SA)","D Elgar","https://stats.espncricinfo.com/ci/content/player/230852.html","2012-2018","8","7","1","104","42","17.33","177","58.75","0","0","0",""
"(IND)","RP Singh","https://stats.espncricinfo.com/ci/content/player/35280.html","2005-2011","58","20","10","104","23","10.40","242","42.97","0","0","3",""
"(NZ)","MW Priest","https://stats.espncricinfo.com/ci/content/player/38132.html","1990-1998","18","14","4","103","24","10.30","225","45.77","0","0","2",""
"(NZ)","JW Wilson","https://stats.espncricinfo.com/ci/content/player/38751.html","1993-2005","6","6","1","103","","44*","20.60","112","91.96","0","0","1"
"(ENG)","JC Archer","https://stats.espncricinfo.com/ci/content/player/669855.html","2019-2025","28","15","8","102","","38*","14.57","101","100.99","0","0","2"
"(SA)","D Wiese","https://stats.espncricinfo.com/ci/content/player/221140.html","2015-2016","6","6","1","102","","41*","20.40","115","88.69","0","0","0"
"(BAN)","Yasir Ali","https://stats.espncricinfo.com/ci/content/player/629059.html","2022-2023","9","7","0","102","50","14.57","114","89.47","0","1","1",""
"(AUS)","XJ Doherty","https://stats.espncricinfo.com/ci/content/player/5017.html","2010-2015","60","23","16","101","","15*","14.42","184","54.89","0","0","2"
