"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","data1 11"
"(BAN)","Dolar Mahmud","https://stats.espncricinfo.com/ci/content/player/56209.html","2008-2009","7","7","210","258","8","4/28","32.25","7.37","26.2","1","0"
"(AUS)","SF Graf","https://stats.espncricinfo.com/ci/content/player/5420.html","1980-1981","11","10","522","345","8","2/23","43.12","3.96","65.2","0","0"
"(NZ)","EJ Gray","https://stats.espncricinfo.com/ci/content/player/37103.html","1984-1988","10","9","386","286","8","2/26","35.75","4.44","48.2","0","0"
"(PAK)","Hasan Jamil","https://stats.espncricinfo.com/ci/content/player/40376.html","1977-1978","6","5","232","154","8","3/18","19.25","3.98","29.0","0","0"
"(AUS)","MC Henriques","https://stats.espncricinfo.com/ci/content/player/5961.html","2009-2021","16","12","402","347","8","3/32","43.37","5.17","50.2","0","0"
"(ENG)","BC Hollioake","https://stats.espncricinfo.com/ci/content/player/14246.html","1997-2002","20","17","642","532","8","2/37","66.50","4.97","80.2","0","0"
"(AFG)","Izatullah Dawlatzai","https://stats.espncricinfo.com/ci/content/player/402247.html","2010-2015","5","5","210","146","8","4/38","18.25","4.17","26.2","1","0"
"(IND)","AR Kapoor","https://stats.espncricinfo.com/ci/content/player/30030.html","1995-2000","17","17","900","612","8","2/33","76.50","4.08","112.5","0","0"
"(AUS)","TJ Laughlin","https://stats.espncricinfo.com/ci/content/player/6261.html","1978-1979","6","6","308","224","8","3/54","28.00","4.36","38.5","0","0"
"(NZ)","JFM Morrison","https://stats.espncricinfo.com/ci/content/player/37731.html","1975-1983","18","7","283","199","8","3/24","24.87","4.21","35.3","0","0"
"(PAK)","Naved Anjum","https://stats.espncricinfo.com/ci/content/player/42062.html","1984-1992","13","12","472","344","8","2/27","43.00","4.37","59.0","0","0"
"(AFG)","Nawroz Mangal","https://stats.espncricinfo.com/ci/content/player/318334.html","2009-2016","49","16","293","235","8","3/35","29.37","4.81","36.6","0","0"
"(NZ)","MW Priest","https://stats.espncricinfo.com/ci/content/player/38132.html","1990-1998","18","17","752","590","8","2/27","73.75","4.70","94.0","0","0"
"(AUS)","GR Robertson","https://stats.espncricinfo.com/ci/content/player/7366.html","1994-1998","13","13","597","430","8","3/29","53.75","4.32","74.6","0","0"
"(AUS)","AM Stuart","https://stats.espncricinfo.com/ci/content/player/7691.html","1997-1997","3","3","180","109","8","5/26","13.62","3.63","22.5","0","1"
"(NZ)","BGK Walker","https://stats.espncricinfo.com/ci/content/player/38737.html","2000-2002","11","11","438","417","8","2/43","52.12","5.71","54.7","0","0"
"(ENG)","VJ Wells","https://stats.espncricinfo.com/ci/content/player/22365.html","1999-1999","9","8","220","189","8","3/30","23.62","5.15","27.5","0","0"
"(NZ)","BM Wheeler","https://stats.espncricinfo.com/ci/content/player/440523.html","2015-2015","6","6","309","315","8","3/63","39.37","6.11","38.6","0","0"
"(IND)","NS Yadav","https://stats.espncricinfo.com/ci/content/player/36064.html","1986-1987","7","7","330","228","8","2/18","28.50","4.14","41.2","0","0"
"(IND)","S Abid Ali","https://stats.espncricinfo.com/ci/content/player/26169.html","1974-1975","5","5","336","187","7","2/22","26.71","3.33","48.0","0","0"
