"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","data1 11"
"(IND)","STR Binny","https://stats.espncricinfo.com/ci/content/player/27223.html","2014-2015","14","12","490","439","20","6/4","21.95","5.37","24.5","0","1"
"(AUS)","DT Christian","https://stats.espncricinfo.com/ci/content/player/4864.html","2012-2021","20","19","727","595","20","5/31","29.75","4.91","36.3","0","1"
"(AUS)","C Green","https://stats.espncricinfo.com/ci/content/player/1076713.html","2020-2024","28","25","814","784","20","5/33","39.20","5.77","40.7","0","1"
"(NZ)","DR Hadlee","https://stats.espncricinfo.com/ci/content/player/37222.html","1973-1976","11","11","628","364","20","4/34","18.20","3.47","31.4","1","0"
"(IND)","A Jadeja","https://stats.espncricinfo.com/ci/content/player/29632.html","1992-2000","196","52","1248","1094","20","3/3","54.70","5.25","62.4","0","0"
"(SA)","AK Markram","https://stats.espncricinfo.com/ci/content/player/600498.html","2017-2024","74","36","1061","994","20","2/18","49.70","5.62","53.0","0","0"
"(PAK)","Rashid Khan","https://stats.espncricinfo.com/ci/content/player/42421.html","1980-1985","29","28","1414","923","20","3/47","46.15","3.91","70.7","0","0"
"(ENG)","DA Reeve","https://stats.espncricinfo.com/ci/content/player/19364.html","1991-1996","29","28","1147","820","20","3/20","41.00","4.28","57.3","0","0"
"(PAK)","Shoaib Mohammad","https://stats.espncricinfo.com/ci/content/player/42658.html","1984-1993","63","35","919","725","20","3/20","36.25","4.73","45.9","0","0"
"(AUS)","MHN Walker","https://stats.espncricinfo.com/ci/content/player/8137.html","1974-1981","17","17","1006","546","20","4/19","27.30","3.25","50.3","1","0"
"(ENG)","GG Arnold","https://stats.espncricinfo.com/ci/content/player/8566.html","1972-1975","14","13","714","339","19","4/27","17.84","2.84","37.5","1","0"
"(AUS)","TM Chappell","https://stats.espncricinfo.com/ci/content/player/4561.html","1980-1983","20","14","736","538","19","3/31","28.31","4.38","38.7","0","0"
"(BAN)","Enamul Haque","https://stats.espncricinfo.com/ci/content/player/55878.html","1990-2002","29","28","1238","1083","19","2/40","57.00","5.24","65.1","0","0"
"(ENG)","AW Greig","https://stats.espncricinfo.com/ci/content/player/13463.html","1972-1977","22","19","916","619","19","4/45","32.57","4.05","48.2","1","0"
"(ENG)","RD Jackman","https://stats.espncricinfo.com/ci/content/player/15461.html","1974-1983","15","15","873","598","19","3/41","31.47","4.10","45.9","0","0"
"(IND)","DS Kulkarni","https://stats.espncricinfo.com/ci/content/player/277955.html","2014-2016","12","12","598","508","19","4/34","26.73","5.09","31.4","1","0"
"(NZ)","BJ McKechnie","https://stats.espncricinfo.com/ci/content/player/37707.html","1975-1981","14","14","818","495","19","3/23","26.05","3.63","43.0","0","0"
"(AUS)","JN Maguire","https://stats.espncricinfo.com/ci/content/player/6460.html","1983-1984","23","20","1009","769","19","3/61","40.47","4.57","53.1","0","0"
"(PAK)","Mohammad Akram","https://stats.espncricinfo.com/ci/content/player/41282.html","1995-2000","23","21","989","790","19","2/28","41.57","4.79","52.0","0","0"
"(BAN)","Mushfiqur Rahman","https://stats.espncricinfo.com/ci/content/player/55976.html","2000-2004","28","28","1332","983","19","2/21","51.73","4.42","70.1","0","0"
