"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","data1 11"
"(PAK)","Wasim Akram","https://stats.espncricinfo.com/ci/content/player/43547.html","1984-2003","356","351","18186","11812","502","5/15","23.52","3.89","36.2","17","6"
"(PAK)","Waqar Younis","https://stats.espncricinfo.com/ci/content/player/43543.html","1989-2003","262","258","12698","9919","416","7/36","23.84","4.68","30.5","14","13"
"(PAK)","Shahid Afridi","https://stats.espncricinfo.com/ci/content/player/42639.html","1996-2015","393","369","17599","13572","393","7/12","34.53","4.62","44.7","4","9"
"(SA)","SM Pollock","https://stats.espncricinfo.com/ci/content/player/46774.html","1996-2008","294","291","15430","9409","387","6/35","24.31","3.65","39.8","12","5"
"(AUS)","B Lee","https://stats.espncricinfo.com/ci/content/player/6278.html","2000-2012","221","217","11185","8877","380","5/22","23.36","4.76","29.4","14","9"
"(AUS)","GD McGrath","https://stats.espncricinfo.com/ci/content/player/6565.html","1993-2007","249","247","12928","8354","380","7/15","21.98","3.87","34.0","9","7"
"(IND)","A Kumble","https://stats.espncricinfo.com/ci/content/player/30176.html","1990-2007","269","263","14376","10300","334","6/12","30.83","4.29","43.0","8","2"
"(BAN)","Shakib Al Hasan","https://stats.espncricinfo.com/ci/content/player/56143.html","2006-2023","247","241","12575","9360","317","5/29","29.52","4.46","39.6","10","4"
"(IND)","J Srinath","https://stats.espncricinfo.com/ci/content/player/34105.html","1991-2003","229","227","11935","8847","315","5/23","28.08","4.44","37.8","7","3"
"(NZ)","DL Vettori","https://stats.espncricinfo.com/ci/content/player/38710.html","1997-2015","291","273","13820","9495","297","5/7","31.96","4.12","46.5","7","2"
"(AUS)","SK Warne","https://stats.espncricinfo.com/ci/content/player/8166.html","1993-2003","193","190","10600","7514","291","5/33","25.82","4.25","36.4","12","1"
"(IND)","AB Agarkar","https://stats.espncricinfo.com/ci/content/player/26184.html","1998-2007","191","188","9484","8021","288","6/42","27.85","5.07","32.9","10","2"
"(PAK)","Saqlain Mushtaq","https://stats.espncricinfo.com/ci/content/player/42628.html","1995-2003","169","165","8770","6275","288","5/20","21.78","4.29","30.4","11","6"
"(SA)","AA Donald","https://stats.espncricinfo.com/ci/content/player/44716.html","1991-2003","164","162","8561","5926","272","6/23","21.78","4.15","31.4","11","2"
"(ENG)","JM Anderson","https://stats.espncricinfo.com/ci/content/player/8608.html","2002-2015","194","191","9584","7861","269","5/23","29.22","4.92","35.6","11","2"
"(SA)","JH Kallis","https://stats.espncricinfo.com/ci/content/player/45789.html","1996-2014","323","279","10638","8568","269","5/30","31.85","4.83","39.5","2","2"
"(IND)","Z Khan","https://stats.espncricinfo.com/ci/content/player/30102.html","2000-2012","194","191","9815","8102","269","5/42","30.11","4.95","36.4","7","1"
"(BAN)","Mashrafe Mortaza","https://stats.espncricinfo.com/ci/content/player/56007.html","2001-2020","218","218","10827","8785","269","6/26","32.65","4.86","40.2","7","1"
"(PAK)","Abdul Razzaq","https://stats.espncricinfo.com/ci/content/player/39836.html","1996-2011","261","250","10851","8452","268","6/35","31.53","4.67","40.4","8","3"
"(IND)","Harbhajan Singh","https://stats.espncricinfo.com/ci/content/player/29264.html","1998-2015","234","225","12359","8872","265","5/31","33.47","4.30","46.6","2","3"
